"Demographics","Subgroup","Total Cases","Year","Whites","Blacks","Chicanos/Hispanics","Asian-Americans"
"gender and age","18-29 men","123","1968","79.9","59.2","NA","NA"
"gender and age","18-29 men","117","1970","73.9","57.8","NA","NA"
"gender and age","18-29 men","272","1972","71","59.8","NA","NA"
"gender and age","18-29 men","130","1974","72.3","61.2","NA","NA"
"gender and age","18-29 men","203","1976","64.3","52.8","51.4","NA"
"gender and age","18-29 men","163","1980","72.1","59.4","55.3","NA"
"gender and age","18-29 men","138","1982","67.9","60.6","NA","NA"
"gender and age","18-29 men","209","1984","69.4","62.5","58.8","NA"
"gender and age","18-29 men","233","1986","NA","67.6","NA","NA"
"gender and age","18-29 men","161","1988","72","59.8","56.8","NA"
"gender and age","18-29 men","214","1990","NA","67.7","NA","NA"
"gender and age","18-29 men","219","1992","69.3","63.4","57.9","56"
"gender and age","18-29 men","156","1994","71.9","60.6","61.4","NA"
"gender and age","18-29 men","82","1996","69.3","65.2","64.2","NA"
"gender and age","18-29 men","123","1998","66.4","67.3","NA","NA"
"gender and age","18-29 men","84","2000","74.4","68.7","67.3","65.1"
"gender and age","18-29 men","49","2002","63","63.4","61.4","60.4"
"gender and age","18-29 men","100","2004","67.1","70.1","67.2","68.3"
"gender and age","18-29 men","157","2008","64.7","65.9","63.8","63"
"gender and age","18-29 men","194","2012","70.2","64","66.6","63.4"
"gender and age","18-29 men","282","2016","65.5","66.7","65.3","67.5"
"gender and age","18-29 men","380","2020","62.7","71.8","69.8","69.6"
"gender and age","18-29 men","197","2024","63","64","67.6","65.3"
"gender and age","30-44 men","224","1964","82.3","61.1","NA","NA"
"gender and age","30-44 men","172","1966","81.8","62.7","NA","NA"
"gender and age","30-44 men","192","1968","77.2","64.1","NA","NA"
"gender and age","30-44 men","187","1970","75.7","61","NA","NA"
"gender and age","30-44 men","247","1972","75.2","61.1","NA","NA"
"gender and age","30-44 men","167","1974","75.9","59","NA","NA"
"gender and age","30-44 men","200","1976","67.3","56.8","54.2","NA"
"gender and age","30-44 men","174","1980","71.9","60.1","56","NA"
"gender and age","30-44 men","192","1982","68.9","59.4","NA","NA"
"gender and age","30-44 men","286","1984","70.7","62.8","60.1","NA"
"gender and age","30-44 men","319","1986","NA","64","NA","NA"
"gender and age","30-44 men","281","1988","71","60.3","56.9","NA"
"gender and age","30-44 men","294","1990","NA","67.8","NA","NA"
"gender and age","30-44 men","383","1992","66.3","62.8","59.9","58.7"
"gender and age","30-44 men","311","1994","67.6","61.2","60.7","NA"
"gender and age","30-44 men","242","1996","68.7","63.7","62.5","NA"
"gender and age","30-44 men","183","1998","68.1","65","NA","NA"
"gender and age","30-44 men","228","2000","71.4","65.5","63","63.2"
"gender and age","30-44 men","185","2002","64.8","64.9","61.4","62"
"gender and age","30-44 men","126","2004","72.8","72.1","69.4","67.5"
"gender and age","30-44 men","249","2008","69.1","63.3","61.9","60.6"
"gender and age","30-44 men","234","2012","71.2","61.9","62.8","63.2"
"gender and age","30-44 men","377","2016","69.5","67.8","67.8","66.9"
"gender and age","30-44 men","802","2020","65.6","70.9","71.6","70.3"
"gender and age","30-44 men","531","2024","65.9","67.3","68.2","68.7"
"gender and age","45-59 men","204","1964","87.9","62.3","NA","NA"
"gender and age","45-59 men","163","1966","81.5","64.3","NA","NA"
"gender and age","45-59 men","192","1968","80.1","61.5","NA","NA"
"gender and age","45-59 men","169","1970","74.3","56.6","NA","NA"
"gender and age","45-59 men","229","1972","78.8","61.9","NA","NA"
"gender and age","45-59 men","172","1974","79","64.9","NA","NA"
"gender and age","45-59 men","178","1976","73.1","62.9","56.6","NA"
"gender and age","45-59 men","130","1980","76.8","64.5","59.1","NA"
"gender and age","45-59 men","120","1982","70.2","58.4","NA","NA"
"gender and age","45-59 men","172","1984","74.4","60.7","56.9","NA"
"gender and age","45-59 men","175","1986","NA","63.5","NA","NA"
"gender and age","45-59 men","139","1988","72.4","59.6","57.7","NA"
"gender and age","45-59 men","180","1990","NA","63.7","NA","NA"
"gender and age","45-59 men","221","1992","70.6","63.5","62.1","60.5"
"gender and age","45-59 men","171","1994","70.8","60.1","60.3","NA"
"gender and age","45-59 men","178","1996","72","65.7","63.7","NA"
"gender and age","45-59 men","139","1998","68.6","64.6","NA","NA"
"gender and age","45-59 men","187","2000","69.5","65.2","62","64.2"
"gender and age","45-59 men","184","2002","65","63.8","61.2","62"
"gender and age","45-59 men","152","2004","72.3","72.5","66","65.3"
"gender and age","45-59 men","275","2008","72.6","67.7","65","64.1"
"gender and age","45-59 men","194","2012","68.7","65.1","64.1","65.4"
"gender and age","45-59 men","454","2016","71.2","66.9","66.6","67.5"
"gender and age","45-59 men","764","2020","69.6","69.6","68.9","69.8"
"gender and age","45-59 men","477","2024","68.3","67.9","67.5","68.4"
"gender and age","60+ men","129","1964","87.4","62","NA","NA"
"gender and age","60+ men","127","1966","85.9","58.5","NA","NA"
"gender and age","60+ men","156","1968","84.6","65.4","NA","NA"
"gender and age","60+ men","158","1970","81.5","59.4","NA","NA"
"gender and age","60+ men","169","1972","84.6","65.6","NA","NA"
"gender and age","60+ men","171","1974","81.7","65","NA","NA"
"gender and age","60+ men","191","1976","77.9","60.1","53.3","NA"
"gender and age","60+ men","135","1980","79.7","64.3","54.4","NA"
"gender and age","60+ men","140","1982","74","61.1","NA","NA"
"gender and age","60+ men","172","1984","76.8","55.7","51.5","NA"
"gender and age","60+ men","176","1986","NA","59.2","NA","NA"
"gender and age","60+ men","170","1988","72.5","58.5","56.6","NA"
"gender and age","60+ men","176","1990","NA","62.2","NA","NA"
"gender and age","60+ men","206","1992","74.4","60","57.2","57.7"
"gender and age","60+ men","178","1994","72.8","56.6","55.9","NA"
"gender and age","60+ men","167","1996","70.6","63.4","58.6","NA"
"gender and age","60+ men","105","1998","69.9","65.9","NA","NA"
"gender and age","60+ men","149","2000","74.2","65.4","59.9","63.9"
"gender and age","60+ men","138","2002","69","67.1","64.6","64.5"
"gender and age","60+ men","125","2004","76.8","68.8","66.7","70.5"
"gender and age","60+ men","201","2008","74","65.4","61.3","65.2"
"gender and age","60+ men","168","2012","72.9","64.4","63","61.6"
"gender and age","60+ men","510","2016","72.9","66.4","68","69.1"
"gender and age","60+ men","1251","2020","74.1","69.8","70.8","70.8"
"gender and age","60+ men","936","2024","72.9","71.5","70.8","71"
"gender and age","18-29 women","159","1964","82.6","63.2","NA","NA"
"gender and age","18-29 women","131","1966","86","70.5","NA","NA"
"gender and age","18-29 women","160","1968","76.5","66.5","NA","NA"
"gender and age","18-29 women","191","1970","74.1","64.9","NA","NA"
"gender and age","18-29 women","334","1972","74.5","66.6","NA","NA"
"gender and age","18-29 women","197","1974","75.9","67.7","NA","NA"
"gender and age","18-29 women","284","1976","72","61.4","56.5","NA"
"gender and age","18-29 women","206","1980","75.3","64.3","57.2","NA"
"gender and age","18-29 women","179","1982","72.7","66.6","NA","NA"
"gender and age","18-29 women","265","1984","73.5","69.6","61.4","NA"
"gender and age","18-29 women","303","1986","NA","71.2","NA","NA"
"gender and age","18-29 women","213","1988","71.7","65.1","55.9","NA"
"gender and age","18-29 women","241","1990","NA","75.7","NA","NA"
"gender and age","18-29 women","219","1992","70.4","70.3","64.8","61.3"
"gender and age","18-29 women","159","1994","70.4","69.4","64","NA"
"gender and age","18-29 women","121","1996","70.9","69","66.1","NA"
"gender and age","18-29 women","115","1998","74.2","73.8","NA","NA"
"gender and age","18-29 women","134","2000","72.5","69.1","68.4","66.2"
"gender and age","18-29 women","67","2002","69.7","69.3","69.2","67.5"
"gender and age","18-29 women","103","2004","66.5","72.9","64.6","63.3"
"gender and age","18-29 women","207","2008","73.6","72.7","68.5","68.7"
"gender and age","18-29 women","221","2012","74.7","71.5","67.5","65.9"
"gender and age","18-29 women","274","2016","72.2","75.3","73.3","72"
"gender and age","18-29 women","465","2020","61.4","77.4","76.6","73.2"
"gender and age","18-29 women","247","2024","60.8","72.5","72.5","71.4"
"gender and age","30-44 women","266","1964","83.1","66.3","NA","NA"
"gender and age","30-44 women","216","1966","84.6","64.7","NA","NA"
"gender and age","30-44 women","263","1968","81.1","69.1","NA","NA"
"gender and age","30-44 women","213","1970","76.6","63.8","NA","NA"
"gender and age","30-44 women","294","1972","76.6","65.8","NA","NA"
"gender and age","30-44 women","205","1974","80.8","68.5","NA","NA"
"gender and age","30-44 women","262","1976","72.4","62.3","57.4","NA"
"gender and age","30-44 women","233","1980","79","64.7","60.9","NA"
"gender and age","30-44 women","212","1982","74.9","70.2","NA","NA"
"gender and age","30-44 women","340","1984","74.6","68.5","63.9","NA"
"gender and age","30-44 women","370","1986","NA","69","NA","NA"
"gender and age","30-44 women","338","1988","73.3","62.7","59.2","NA"
"gender and age","30-44 women","334","1990","NA","73.4","NA","NA"
"gender and age","30-44 women","405","1992","70","67.4","62.7","60.9"
"gender and age","30-44 women","327","1994","71.8","67.7","64.5","NA"
"gender and age","30-44 women","294","1996","71.6","66.9","65.1","NA"
"gender and age","30-44 women","229","1998","72.8","72.1","NA","NA"
"gender and age","30-44 women","254","2000","71.4","67.2","64.6","65.2"
"gender and age","30-44 women","198","2002","68.1","67.9","63.3","63.5"
"gender and age","30-44 women","138","2004","73.4","73.8","70.1","67.9"
"gender and age","30-44 women","309","2008","71.6","70.4","67.9","65.8"
"gender and age","30-44 women","305","2012","76.2","69.2","69.7","68.3"
"gender and age","30-44 women","497","2016","69.1","68.1","68.6","67.2"
"gender and age","30-44 women","967","2020","68.9","74.8","74","69.2"
"gender and age","30-44 women","602","2024","65.3","72.4","70.5","68.9"
"gender and age","45-59 women","221","1964","84.3","65.4","NA","NA"
"gender and age","45-59 women","196","1966","85.8","63.9","NA","NA"
"gender and age","45-59 women","223","1968","83","65.1","NA","NA"
"gender and age","45-59 women","216","1970","79.9","62","NA","NA"
"gender and age","45-59 women","268","1972","83.3","68","NA","NA"
"gender and age","45-59 women","218","1974","82.6","68.3","NA","NA"
"gender and age","45-59 women","252","1976","78.9","64.2","58.7","NA"
"gender and age","45-59 women","153","1980","80.8","69.1","61.4","NA"
"gender and age","45-59 women","134","1982","74.9","64.1","NA","NA"
"gender and age","45-59 women","191","1984","76.1","65.6","60.5","NA"
"gender and age","45-59 women","198","1986","NA","67.8","NA","NA"
"gender and age","45-59 women","183","1988","74.2","62.4","57.3","NA"
"gender and age","45-59 women","161","1990","NA","69.5","NA","NA"
"gender and age","45-59 women","242","1992","73.3","66.7","61.9","59.4"
"gender and age","45-59 women","177","1994","74.9","66.5","63","NA"
"gender and age","45-59 women","175","1996","71.1","66.1","65","NA"
"gender and age","45-59 women","148","1998","71","70.2","NA","NA"
"gender and age","45-59 women","231","2000","75.7","67.2","64.6","65.7"
"gender and age","45-59 women","236","2002","68.3","65.5","62.6","61"
"gender and age","45-59 women","154","2004","75.6","73.7","68.8","68.6"
"gender and age","45-59 women","331","2008","75.9","69.8","66.2","66.1"
"gender and age","45-59 women","296","2012","71.3","68","64.8","64.2"
"gender and age","45-59 women","485","2016","74.3","71.5","67.9","68.8"
"gender and age","45-59 women","903","2020","70.3","73.4","72.1","71.1"
"gender and age","45-59 women","579","2024","69","72.1","69.2","69.8"
"gender and age","60+ women","196","1964","89.1","65.5","NA","NA"
"gender and age","60+ women","155","1966","89.8","60.1","NA","NA"
"gender and age","60+ women","190","1968","85.6","63.8","NA","NA"
"gender and age","60+ women","210","1970","81","62.8","NA","NA"
"gender and age","60+ women","295","1972","84.1","62.9","NA","NA"
"gender and age","60+ women","251","1974","84.7","66.3","NA","NA"
"gender and age","60+ women","288","1976","81.8","64","55.5","NA"
"gender and age","60+ women","186","1980","83.9","67.4","57.4","NA"
"gender and age","60+ women","204","1982","77.4","65.8","NA","NA"
"gender and age","60+ women","256","1984","79.1","62.7","55.9","NA"
"gender and age","60+ women","279","1986","NA","64.9","NA","NA"
"gender and age","60+ women","249","1988","77.5","62.9","54.8","NA"
"gender and age","60+ women","303","1990","NA","70.5","NA","NA"
"gender and age","60+ women","323","1992","77.5","66.9","60.9","60.1"
"gender and age","60+ women","270","1994","76.7","60.6","55.9","NA"
"gender and age","60+ women","243","1996","76.5","67.5","63.2","NA"
"gender and age","60+ women","170","1998","75.8","72.4","NA","NA"
"gender and age","60+ women","218","2000","76.7","68.3","60.7","62.4"
"gender and age","60+ women","227","2002","74.1","66.4","61","62.2"
"gender and age","60+ women","156","2004","81","73.4","67.4","67.5"
"gender and age","60+ women","305","2008","79.1","72.7","65.8","65.7"
"gender and age","60+ women","236","2012","75.6","66.3","64.2","63.3"
"gender and age","60+ women","582","2016","75.4","70.1","68.5","69.1"
"gender and age","60+ women","1444","2020","73.8","72.5","72.2","70.7"
"gender and age","60+ women","1017","2024","74.7","74.8","71.3","71.4"
"gender and region","Men in South","158","1964","87.9","64.2","NA","NA"
"gender and region","Men in South","124","1966","86.1","63","NA","NA"
"gender and region","Men in South","163","1968","84.1","62.9","NA","NA"
"gender and region","Men in South","174","1970","78.4","57.2","NA","NA"
"gender and region","Men in South","248","1972","80.8","62.8","NA","NA"
"gender and region","Men in South","179","1974","81.8","63.3","NA","NA"
"gender and region","Men in South","199","1976","75.1","58.4","53.5","NA"
"gender and region","Men in South","182","1980","77.7","63.2","57.3","NA"
"gender and region","Men in South","179","1982","75.3","63.2","NA","NA"
"gender and region","Men in South","231","1984","74.6","60.6","57.4","NA"
"gender and region","Men in South","284","1986","NA","66.2","NA","NA"
"gender and region","Men in South","221","1988","74.2","59.8","57.2","NA"
"gender and region","Men in South","263","1990","NA","66.3","NA","NA"
"gender and region","Men in South","302","1992","71.9","63.7","59.5","57.8"
"gender and region","Men in South","265","1994","74.5","60.9","60.3","NA"
"gender and region","Men in South","213","1996","72.3","66.3","62.7","NA"
"gender and region","Men in South","184","1998","70.4","70","NA","NA"
"gender and region","Men in South","206","2000","73.2","66.2","62.9","62"
"gender and region","Men in South","169","2002","65.4","64.3","62.7","61.3"
"gender and region","Men in South","162","2004","74","74.5","69.8","70.4"
"gender and region","Men in South","372","2008","72.2","65.2","62.3","61.9"
"gender and region","Men in South","291","2012","71.7","64.4","64","61.3"
"gender and region","Men in South","503","2016","71.2","66.7","67.1","66.6"
"gender and region","Men in South","985","2020","69.6","72.8","72.6","70.3"
"gender and region","Men in South","691","2024","68.2","68.7","68","68.2"
"gender and region","Men in Nonsouth","529","1964","83.8","61.4","NA","NA"
"gender and region","Men in Nonsouth","443","1966","80.7","61.5","NA","NA"
"gender and region","Men in Nonsouth","502","1968","79","62.6","NA","NA"
"gender and region","Men in Nonsouth","459","1970","75.7","59.6","NA","NA"
"gender and region","Men in Nonsouth","672","1972","75.1","61.4","NA","NA"
"gender and region","Men in Nonsouth","465","1974","75.3","62.1","NA","NA"
"gender and region","Men in Nonsouth","574","1976","68.6","57.6","53.8","NA"
"gender and region","Men in Nonsouth","420","1980","73.5","61.2","55.6","NA"
"gender and region","Men in Nonsouth","412","1982","67.8","58.4","NA","NA"
"gender and region","Men in Nonsouth","612","1984","71.4","60.9","57.5","NA"
"gender and region","Men in Nonsouth","620","1986","NA","62.8","NA","NA"
"gender and region","Men in Nonsouth","530","1988","70.8","59.6","56.9","NA"
"gender and region","Men in Nonsouth","601","1990","NA","65.5","NA","NA"
"gender and region","Men in Nonsouth","727","1992","68.5","62","59.4","58.4"
"gender and region","Men in Nonsouth","551","1994","68.3","59.4","59.7","NA"
"gender and region","Men in Nonsouth","456","1996","69","63.5","62.1","NA"
"gender and region","Men in Nonsouth","371","1998","66.9","63.3","NA","NA"
"gender and region","Men in Nonsouth","443","2000","71.7","65.9","62.9","64.8"
"gender and region","Men in Nonsouth","390","2002","65.1","64.9","61.6","62.6"
"gender and region","Men in Nonsouth","341","2004","71.5","69.3","66.2","66.4"
"gender and region","Men in Nonsouth","522","2008","69.5","66","63.3","64"
"gender and region","Men in Nonsouth","525","2012","70","63.4","63.9","64"
"gender and region","Men in Nonsouth","1159","2016","69.4","66.9","66.8","68.2"
"gender and region","Men in Nonsouth","2321","2020","68.4","69.3","69.3","69.8"
"gender and region","Men in Nonsouth","1534","2024","68","68","69","68.9"
"gender and region","Women in South","203","1964","87.7","66.9","NA","NA"
"gender and region","Women in South","165","1966","87.3","61.7","NA","NA"
"gender and region","Women in South","209","1968","83.1","65.9","NA","NA"
"gender and region","Women in South","233","1970","77.7","61.1","NA","NA"
"gender and region","Women in South","325","1972","81.1","67.4","NA","NA"
"gender and region","Women in South","250","1974","82.3","68","NA","NA"
"gender and region","Women in South","283","1976","78.2","67.3","58.8","NA"
"gender and region","Women in South","223","1980","82.7","68.8","61.5","NA"
"gender and region","Women in South","218","1982","79.5","69.3","NA","NA"
"gender and region","Women in South","315","1984","76.9","67.1","60","NA"
"gender and region","Women in South","382","1986","NA","68.2","NA","NA"
"gender and region","Women in South","328","1988","75.3","68","57.3","NA"
"gender and region","Women in South","327","1990","NA","72.3","NA","NA"
"gender and region","Women in South","386","1992","76.3","70.7","62.5","60.9"
"gender and region","Women in South","327","1994","75.3","68.5","61.2","NA"
"gender and region","Women in South","312","1996","75.9","70.5","65.7","NA"
"gender and region","Women in South","231","1998","76.5","75.1","NA","NA"
"gender and region","Women in South","266","2000","75.6","69.2","64.4","65.1"
"gender and region","Women in South","218","2002","67.4","65.7","60.7","59.6"
"gender and region","Women in South","174","2004","78.6","76.6","69","67.1"
"gender and region","Women in South","546","2008","77.6","73.7","68.6","67.2"
"gender and region","Women in South","401","2012","74.5","68.7","67","64.5"
"gender and region","Women in South","601","2016","74.3","72.9","68.9","68.4"
"gender and region","Women in South","1213","2020","70.5","74.9","73.4","69.9"
"gender and region","Women in South","787","2024","68.9","73.5","69.5","68.5"
"gender and region","Women in Nonsouth","642","1964","83.8","64.8","NA","NA"
"gender and region","Women in Nonsouth","541","1966","86","65.2","NA","NA"
"gender and region","Women in Nonsouth","629","1968","81.2","66.5","NA","NA"
"gender and region","Women in Nonsouth","603","1970","77.9","64.3","NA","NA"
"gender and region","Women in Nonsouth","875","1972","78.7","65.1","NA","NA"
"gender and region","Women in Nonsouth","631","1974","79.9","67.6","NA","NA"
"gender and region","Women in Nonsouth","813","1976","75.4","61.4","56.3","NA"
"gender and region","Women in Nonsouth","557","1980","78.3","65","58.4","NA"
"gender and region","Women in Nonsouth","512","1982","73.1","66","NA","NA"
"gender and region","Women in Nonsouth","744","1984","75.2","66.8","61.4","NA"
"gender and region","Women in Nonsouth","770","1986","NA","68.5","NA","NA"
"gender and region","Women in Nonsouth","656","1988","73.6","60.8","57","NA"
"gender and region","Women in Nonsouth","712","1990","NA","72.5","NA","NA"
"gender and region","Women in Nonsouth","803","1992","71.1","66.2","62.4","60.3"
"gender and region","Women in Nonsouth","606","1994","72.2","65","62.6","NA"
"gender and region","Women in Nonsouth","523","1996","70.3","65.4","64.5","NA"
"gender and region","Women in Nonsouth","442","1998","71.6","70.6","NA","NA"
"gender and region","Women in Nonsouth","577","2000","73.2","67.3","64.7","64.8"
"gender and region","Women in Nonsouth","514","2002","70.9","67.9","65.2","65"
"gender and region","Women in Nonsouth","377","2004","72.9","72.1","67.4","67.1"
"gender and region","Women in Nonsouth","632","2008","73.2","69.6","66.1","66.1"
"gender and region","Women in Nonsouth","686","2012","74.3","68.5","66.3","65.7"
"gender and region","Women in Nonsouth","1276","2016","72.2","70.1","69.4","69.5"
"gender and region","Women in Nonsouth","2700","2020","69.1","73.7","73.2","71.2"
"gender and region","Women in Nonsouth","1772","2024","68.6","73.1","71.6","71.5"
"gender and knowledge","Less knowledgeable men","171","1964","83.7","60.2","NA","NA"
"gender and knowledge","Less knowledgeable men","115","1966","83.3","60.9","NA","NA"
"gender and knowledge","Less knowledgeable men","130","1968","79.7","59.7","NA","NA"
"gender and knowledge","Less knowledgeable men","248","1970","76.9","56.7","NA","NA"
"gender and knowledge","Less knowledgeable men","110","1972","77.5","60.3","NA","NA"
"gender and knowledge","Less knowledgeable men","176","1976","70.4","56.9","52.6","NA"
"gender and knowledge","Less knowledgeable men","105","1980","79.6","64.9","54.8","NA"
"gender and knowledge","Less knowledgeable men","332","1982","71.8","60.2","NA","NA"
"gender and knowledge","Less knowledgeable men","292","1984","72.1","58.7","54.4","NA"
"gender and knowledge","Less knowledgeable men","515","1986","NA","64.4","NA","NA"
"gender and knowledge","Less knowledgeable men","217","1988","73.2","58.9","56","NA"
"gender and knowledge","Less knowledgeable men","347","1990","NA","64.5","NA","NA"
"gender and knowledge","Less knowledgeable men","308","1992","70.6","62.8","58.2","56.1"
"gender and knowledge","Less knowledgeable men","154","1994","71.5","57.6","59.1","NA"
"gender and knowledge","Less knowledgeable men","129","1996","71.1","67.9","61.5","NA"
"gender and knowledge","Less knowledgeable men","141","1998","66.9","66.1","NA","NA"
"gender and knowledge","Less knowledgeable men","220","2000","73","65.4","62.1","61.4"
"gender and knowledge","Less knowledgeable men","331","2002","65.5","64.8","61.8","61.1"
"gender and knowledge","Less knowledgeable men","195","2004","72","69.6","63.6","64.4"
"gender and knowledge","Less knowledgeable men","485","2008","70","65.5","62.1","61.6"
"gender and knowledge","Less knowledgeable men","126","2012","67.8","59.6","59.3","56.7"
"gender and knowledge","Less knowledgeable men","389","2016","68.1","65","63.8","64.5"
"gender and knowledge","Less knowledgeable men","778","2020","66.6","71.1","69.3","67.3"
"gender and knowledge","Less knowledgeable men","650","2024","66.4","67.1","66.8","67.1"
"gender and knowledge","More knowledgeable men","457","1964","85.1","63.2","NA","NA"
"gender and knowledge","More knowledgeable men","448","1966","81.6","61.9","NA","NA"
"gender and knowledge","More knowledgeable men","443","1968","80","64","NA","NA"
"gender and knowledge","More knowledgeable men","385","1970","76.1","60.4","NA","NA"
"gender and knowledge","More knowledgeable men","350","1972","75.2","62.5","NA","NA"
"gender and knowledge","More knowledgeable men","594","1976","70.2","58","54","NA"
"gender and knowledge","More knowledgeable men","495","1980","73.7","61.1","56.4","NA"
"gender and knowledge","More knowledgeable men","258","1982","67.8","59.4","NA","NA"
"gender and knowledge","More knowledgeable men","547","1984","72.4","62","59.1","NA"
"gender and knowledge","More knowledgeable men","387","1986","NA","63.2","NA","NA"
"gender and knowledge","More knowledgeable men","533","1988","71.3","60","57.4","NA"
"gender and knowledge","More knowledgeable men","514","1990","NA","66.7","NA","NA"
"gender and knowledge","More knowledgeable men","720","1992","69","62.4","59.9","59.1"
"gender and knowledge","More knowledgeable men","650","1994","69.8","60.5","60","NA"
"gender and knowledge","More knowledgeable men","540","1996","69.8","63.5","62.5","NA"
"gender and knowledge","More knowledgeable men","414","1998","68.5","65.4","NA","NA"
"gender and knowledge","More knowledgeable men","429","2000","71.6","66.4","63.4","65.6"
"gender and knowledge","More knowledgeable men","226","2002","64.8","64.6","62.3","64.1"
"gender and knowledge","More knowledgeable men","308","2004","72.6","72.1","70.1","70"
"gender and knowledge","More knowledgeable men","408","2008","71.2","65.9","63.8","64.8"
"gender and knowledge","More knowledgeable men","439","2012","70.9","64.7","64.5","65.2"
"gender and knowledge","More knowledgeable men","1244","2016","70.4","67.5","67.8","68.9"
"gender and knowledge","More knowledgeable men","2491","2020","69.6","70.2","71","71.4"
"gender and knowledge","More knowledgeable men","1450","2024","68.6","68.4","69.6","69.4"
"gender and knowledge","Less knowledgeable women","333","1964","82.6","65.7","NA","NA"
"gender and knowledge","Less knowledgeable women","270","1966","85.9","61.7","NA","NA"
"gender and knowledge","Less knowledgeable women","259","1968","80.1","65.8","NA","NA"
"gender and knowledge","Less knowledgeable women","485","1970","77.7","63.1","NA","NA"
"gender and knowledge","Less knowledgeable women","274","1972","79.5","62.8","NA","NA"
"gender and knowledge","Less knowledgeable women","531","1976","76.9","62.9","56.2","NA"
"gender and knowledge","Less knowledgeable women","289","1980","82.2","68.4","59.6","NA"
"gender and knowledge","Less knowledgeable women","566","1982","74.9","67.2","NA","NA"
"gender and knowledge","Less knowledgeable women","538","1984","75.4","65.4","58.8","NA"
"gender and knowledge","Less knowledgeable women","845","1986","NA","68.4","NA","NA"
"gender and knowledge","Less knowledgeable women","484","1988","73.6","63.6","57.1","NA"
"gender and knowledge","Less knowledgeable women","620","1990","NA","71.5","NA","NA"
"gender and knowledge","Less knowledgeable women","589","1992","72.4","68.6","61.8","58.6"
"gender and knowledge","Less knowledgeable women","296","1994","73.3","66.3","58.1","NA"
"gender and knowledge","Less knowledgeable women","247","1996","73.6","69.9","65","NA"
"gender and knowledge","Less knowledgeable women","264","1998","74.7","72.9","NA","NA"
"gender and knowledge","Less knowledgeable women","453","2000","73.6","66.4","63.1","62.8"
"gender and knowledge","Less knowledgeable women","550","2002","70.4","67.7","64","63.5"
"gender and knowledge","Less knowledgeable women","270","2004","73.9","71.8","65.1","65.7"
"gender and knowledge","Less knowledgeable women","811","2008","74.9","70.5","65.8","64.9"
"gender and knowledge","Less knowledgeable women","173","2012","75.7","71.4","68.1","67.7"
"gender and knowledge","Less knowledgeable women","517","2016","71.8","68.5","65.9","65.1"
"gender and knowledge","Less knowledgeable women","1410","2020","68.6","74.6","72.9","70"
"gender and knowledge","Less knowledgeable women","913","2024","68.4","71.5","69.5","69.5"
"gender and knowledge","More knowledgeable women","454","1964","85.7","65.4","NA","NA"
"gender and knowledge","More knowledgeable women","435","1966","86.7","66.1","NA","NA"
"gender and knowledge","More knowledgeable women","473","1968","83","67.9","NA","NA"
"gender and knowledge","More knowledgeable women","348","1970","77.9","64.1","NA","NA"
"gender and knowledge","More knowledgeable women","343","1972","79.2","67.3","NA","NA"
"gender and knowledge","More knowledgeable women","563","1976","75.4","62.9","57.6","NA"
"gender and knowledge","More knowledgeable women","491","1980","78","64.7","59","NA"
"gender and knowledge","More knowledgeable women","154","1982","75.2","65.5","NA","NA"
"gender and knowledge","More knowledgeable women","516","1984","76.1","68.5","63.2","NA"
"gender and knowledge","More knowledgeable women","306","1986","NA","68.3","NA","NA"
"gender and knowledge","More knowledgeable women","500","1988","74.6","62.9","57.1","NA"
"gender and knowledge","More knowledgeable women","417","1990","NA","73.9","NA","NA"
"gender and knowledge","More knowledgeable women","595","1992","73.3","66.9","63.2","62.3"
"gender and knowledge","More knowledgeable women","628","1994","73.3","66.1","64.3","NA"
"gender and knowledge","More knowledgeable women","588","1996","72","66.2","65","NA"
"gender and knowledge","More knowledgeable women","409","1998","72.4","71.7","NA","NA"
"gender and knowledge","More knowledgeable women","390","2000","74.5","69.9","66.5","67.8"
"gender and knowledge","More knowledgeable women","180","2002","68.2","66","63.1","62.6"
"gender and knowledge","More knowledgeable women","281","2004","75.5","75.2","70.8","68.4"
"gender and knowledge","More knowledgeable women","362","2008","75.2","73","69.9","70"
"gender and knowledge","More knowledgeable women","477","2012","74.1","69.6","68.1","67.8"
"gender and knowledge","More knowledgeable women","1309","2016","73.3","72.2","70.9","71"
"gender and knowledge","More knowledgeable women","2430","2020","70.1","73.8","73.7","71.5"
"gender and knowledge","More knowledgeable women","1503","2024","69.3","74.9","72.6","71.9"
"education and race","Non-college whites","1203","1964","87.6","60.4","NA","NA"
"education and race","Non-college whites","1001","1966","86.6","60","NA","NA"
"education and race","Non-college whites","1151","1968","83.4","60.8","NA","NA"
"education and race","Non-college whites","1137","1970","80","57.8","NA","NA"
"education and race","Non-college whites","1604","1972","80.9","60.9","NA","NA"
"education and race","Non-college whites","1139","1974","81","63.9","NA","NA"
"education and race","Non-college whites","1352","1976","75.8","57.9","54.1","NA"
"education and race","Non-college whites","937","1980","78.9","60.7","55.9","NA"
"education and race","Non-college whites","886","1982","74.9","62","NA","NA"
"education and race","Non-college whites","1234","1984","75.1","61.1","56.6","NA"
"education and race","Non-college whites","1233","1986","NA","62.4","NA","NA"
"education and race","Non-college whites","1008","1988","74.8","56.1","52.5","NA"
"education and race","Non-college whites","1111","1990","NA","65.3","NA","NA"
"education and race","Non-college whites","1233","1992","72.6","60.9","57.1","57"
